,HorseNameCHI,date,raceid,location_id,distance,DG,Act_RS,wlast,first,firsttwo,firstthree
2855,勁哥兒,2018-06-06,706,1,2.2,Inner,MiddleLate,2.0,1,1,1
2856,勁哥兒,2018-05-16,656,1,1.8,Inner,MiddleFront,3.0,0,0,0
2857,勁哥兒,2018-04-25,597,1,2.2,MiddleOuter,Late,3.0,1,1,1
2858,勁哥兒,2018-03-11,489,0,1.65,Outer,MiddleFront,6.0,0,0,0
2859,勁哥兒,2018-02-21,444,1,1.8,MiddleOuter,Pace,5.0,0,0,0
2860,勁哥兒,2018-02-04,395,0,1.8,MiddleOuter,Pace,2.0,0,0,0
2894,靚紫荊,2018-12-12,253,1,1.65,Inner,MiddleLate,1.0,0,0,0
2895,靚紫荊,2018-11-14,180,1,1.65,MiddleInner,MiddleFront,2.0,0,0,0
2896,靚紫荊,2018-10-21,118,0,1.4,MiddleInner,MiddleFront,2.0,0,0,0
2897,靚紫荊,2018-10-03,71,1,1.8,MiddleInner,MiddleFront,3.0,0,0,0
2898,靚紫荊,2018-09-12,36,1,1.65,MiddleOuter,MiddleFront,3.0,0,0,0
2899,靚紫荊,2018-07-04,777,1,1.65,MiddleInner,MiddleFront,3.0,0,0,0
2900,靚紫荊,2018-06-06,712,1,1.65,MiddleOuter,Pace,2.0,1,1,1
2901,靚紫荊,2018-05-23,673,1,1.65,MiddleOuter,Late,2.0,0,0,0
2902,靚紫荊,2018-04-11,563,1,1.65,MiddleOuter,MiddleLate,4.0,1,1,1
2903,靚紫荊,2018-03-07,483,1,1.65,MiddleInner,Late,8.0,0,1,1
2918,魅力知友,2018-12-09,242,0,1.6,Inner,MiddleLate,1.0,0,0,0
2919,魅力知友,2018-11-25,205,0,1.6,Inner,MiddleFront,2.0,0,1,1
2920,魅力知友,2018-11-10,170,0,1.4,MiddleInner,MiddleLate,3.0,0,0,0
2921,魅力知友,2018-04-29,606,0,1.4,MiddleOuter,Pace,3.0,1,1,1
2922,魅力知友,2018-04-02,544,0,1.4,Inner,MiddleLate,1.0,1,1,1
2923,魅力知友,2018-03-18,507,0,1.4,MiddleOuter,Late,3.0,0,0,0
2959,悅目星光,2018-12-26,283,1,1.65,MiddleInner,Pace,1.0,1,1,1
2960,悅目星光,2018-12-19,267,0,1.65,Inner,Pace,2.0,0,0,0
2961,悅目星光,2018-11-21,196,1,1.65,MiddleOuter,Pace,2.0,0,0,0
2962,悅目星光,2018-10-28,128,1,1.65,Inner,MiddleFront,1.0,1,1,1
2963,悅目星光,2018-10-10,85,1,1.65,MiddleOuter,Late,7.0,0,0,0
2964,悅目星光,2018-09-26,52,1,1.65,Outer,MiddleLate,6.0,0,0,0
2965,悅目星光,2018-09-05,15,1,1.65,MiddleOuter,Pace,2.0,0,0,0
2966,悅目星光,2018-07-11,792,1,1.65,MiddleOuter,Late,5.0,0,1,1
2967,悅目星光,2018-07-04,771,1,1.65,MiddleOuter,Pace,1.0,0,1,1
2968,悅目星光,2018-06-13,725,1,1.65,Inner,MiddleFront,1.0,0,0,0
2969,悅目星光,2018-05-30,691,0,1.65,MiddleOuter,MiddleLate,1.0,0,0,0
3003,威力名城,2018-12-16,255,0,1.2,MiddleInner,MiddleFront,3.0,0,0,1
3004,威力名城,2018-11-10,167,0,1.4,MiddleInner,Pace,4.0,0,0,0
3005,威力名城,2018-10-13,100,0,1.4,Inner,MiddleFront,2.0,0,0,0
3006,威力名城,2018-10-07,80,0,1.2,Inner,MiddleLate,4.0,0,0,0
3007,威力名城,2018-07-15,805,0,1.4,Outer,MiddleFront,3.0,0,0,0
3008,威力名城,2018-06-27,759,1,1.65,MiddleOuter,Late,1.0,0,0,0
3009,威力名城,2018-06-03,703,0,1.4,Outer,MiddleLate,3.0,0,0,0
